run,simSeconds,cpi_mean,cpi_std_pop,inv_total,I_Load_total,S_Load_total,E_Load_total,M_Load_total,L1_GETS,L1_GETX,Request_Control,Response_Data,Writeback_Data
m5out_pprefix_falsesharing_16cores,0.000352,36.1928865,9.578489603540554,86112,58597,107024,113804,676028,171857,196093,303010,322270,1890
m5out_pprefix_falsesharing_2cores,0.001437,7.5859585,2.3790014999999998,30358,29909,95476,75381,539101,35193,33458,182020,198588,1130
m5out_pprefix_falsesharing_4cores,0.000735,12.998415000000001,4.461106942938546,32105,31500,100116,77010,531618,36427,35068,191314,206270,1292
m5out_pprefix_falsesharing_8cores,0.000491,23.55294025,7.448661483943419,62757,51105,90278,101524,556994,102440,141877,254954,271408,1580
m5out_pprefix_optimized_16cores,0.000199,36.474445124999995,8.598711554826643,3124,189,87961,103500,671454,4965,982,7090,25230,1898
m5out_pprefix_optimized_2cores,0.001053,6.1974765000000005,2.3754695,546,8,65652,69027,608788,4190,88,1172,17516,1078
m5out_pprefix_optimized_4cores,0.000540,11.303714750000001,4.303359232050723,711,19,70753,61808,622242,4290,202,1594,16114,1234
m5out_pprefix_optimized_8cores,0.000300,20.988681874999997,6.393729400659123,1745,53,74394,108840,596718,4507,442,3804,18618,1540
