
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000848                       # Number of seconds simulated (Second)
board.cache_hierarchy.clusters0.l1d_cache.overallMissLatency::processor.cores0.core.data    551980800                       # number of overall miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.overallMissLatency::total    551980800                       # number of overall miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.demandAccesses::processor.cores0.core.data       677964                       # number of demand (read+write) accesses (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandAccesses::total       677964                       # number of demand (read+write) accesses (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallAccesses::processor.cores0.core.data       677964                       # number of overall (read+write) accesses (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallAccesses::total       677964                       # number of overall (read+write) accesses (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMissRate::processor.cores0.core.data     0.051848                       # miss rate for demand accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.demandMissRate::total     0.051848                       # miss rate for demand accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.overallMissRate::processor.cores0.core.data     0.051848                       # miss rate for overall accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.overallMissRate::total     0.051848                       # miss rate for overall accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.demandAvgMissLatency::processor.cores0.core.data 15703.132201                       # average overall miss latency in ticks ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.demandAvgMissLatency::total 15703.132201                       # average overall miss latency in ticks ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.overallAvgMissLatency::processor.cores0.core.data 15703.132201                       # average overall miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.overallAvgMissLatency::total 15703.132201                       # average overall miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
board.cache_hierarchy.clusters0.l1d_cache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
board.cache_hierarchy.clusters0.l1d_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
board.cache_hierarchy.clusters0.l1d_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
board.cache_hierarchy.clusters0.l1d_cache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
board.cache_hierarchy.clusters0.l1d_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
board.cache_hierarchy.clusters0.l1d_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
board.cache_hierarchy.clusters0.l1d_cache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
board.cache_hierarchy.clusters0.l1d_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
board.cache_hierarchy.clusters0.l1d_cache.writebacks::writebacks         2448                       # number of writebacks (Count)
board.cache_hierarchy.clusters0.l1d_cache.writebacks::total         2448                       # number of writebacks (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrHits::processor.cores0.core.data         9056                       # number of demand (read+write) MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrHits::total         9056                       # number of demand (read+write) MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrHits::processor.cores0.core.data         9056                       # number of overall MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrHits::total         9056                       # number of overall MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMisses::processor.cores0.core.data        26095                       # number of demand (read+write) MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMisses::total        26095                       # number of demand (read+write) MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMisses::cache_hierarchy.clusters0.l1d_cache.prefetcher          885                       # number of overall MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMisses::processor.cores0.core.data        26095                       # number of overall MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMisses::total        26980                       # number of overall MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMissLatency::processor.cores0.core.data    455230647                       # number of demand (read+write) MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMissLatency::total    455230647                       # number of demand (read+write) MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissLatency::cache_hierarchy.clusters0.l1d_cache.prefetcher      5589138                       # number of overall MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissLatency::processor.cores0.core.data    455230647                       # number of overall MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.overallMshrMissLatency::total    460819785                       # number of overall MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.demandMshrMissRate::processor.cores0.core.data     0.038490                       # mshr miss ratio for demand accesses (Ratio)
